Station_No,Station_ID,Bike_Lat,Bike_Lon,name,distance
11,ade8fb7d8bab829cc6b2b752c02882ff,37.8110807,-122.2432677,Einstein Bros. Bagels,23
11,ade8fb7d8bab829cc6b2b752c02882ff,37.8110807,-122.2432677,Shakewell,29
11,ade8fb7d8bab829cc6b2b752c02882ff,37.8110807,-122.2432677,Urban Indigo,29
12,3a9baba8738c921ad820add914d8d365,37.80889393398715,-122.25646018981932,Oasis Kitchen,21
12,3a9baba8738c921ad820add914d8d365,37.80889393398715,-122.25646018981932,Los Cantaros Restaurant and Taqueria,24
12,3a9baba8738c921ad820add914d8d365,37.80889393398715,-122.25646018981932,Oasis Lounge,30
12,3a9baba8738c921ad820add914d8d365,37.80889393398715,-122.25646018981932,Enssaro,59
12,3a9baba8738c921ad820add914d8d365,37.80889393398715,-122.25646018981932,Old Crow Tattoo,92
13,8870d1c76fa018d1758fad83f2be5237,37.8305452,-122.2739367,Tacos Chavez,86
13,8870d1c76fa018d1758fad83f2be5237,37.8305452,-122.2739367,Joodooboo,212
13,8870d1c76fa018d1758fad83f2be5237,37.8305452,-122.2739367,Shangri-La Vegan,265
13,8870d1c76fa018d1758fad83f2be5237,37.8305452,-122.2739367,YogaLove West Oakland,273
13,8870d1c76fa018d1758fad83f2be5237,37.8305452,-122.2739367,Patatas,342
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,YogaLove West Oakland,172
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,Arthur Mac's Tap and Snack,246
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,MLK Cafe,272
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,Joodooboo,339
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,Tacos Chavez,351
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Ikaros Greek Restaurant,14
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Qi Dumpling Lounge,20
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Melomelo Kava Bar Exp,25
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Almond & Oak,30
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Wild Rabbit Bakery,30
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,Tacos Sinaloa,293
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,Broom Bush Cafe,442
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,Kaffa Ethiopian Cuisine,450
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,Action House,453
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,Teance,464
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Cafe Buenos Aires,246
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Mochinut,246
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Sesame Tiny Bakery,251
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Munch India,254
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Taqueria La Familia,258
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Berkeley Bowl Produce,43
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Buggy Bank,109
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Crixa Cakes,128
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Sconehenge Bakery & Cafe,139
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Kirala,208
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,Mi Pueblo Food Center,38
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,La Victoria Taqueria,212
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,Freshly Baked Eatery,412
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,Vibez Hookah,428
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,Devine Cheese And Wine,453
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Starbucks,14
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Subway,25
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Rosie's New York Pizza,32
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Peet's Coffee and Tea,41
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Scramblz,57
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,Whole Foods,29
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,Taqueria,31
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,WFM Coffee Bar,42
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,Mission Creek Brewing Co.,47
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,True Brew San Jose,49
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Tostadas San Jose,13
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Pho Passion and Mintea,28
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Punjab Cafe,36
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Thai Chili Express,39
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,The Barbers Barbershop,65
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Brickyard Condos,111
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Burger Bar,166
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Clandestine Brewing Tap Room,227
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Hotel Elan San Jose,301
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Wienerschnitzel,325
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,Bi-Rite Creamery Truck,186
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,SPRO Coffee Lab,191
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,Turner's Kitchen,193
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,Parker Guest House,209
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,500 Club,213
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,SF Kebab,77
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,Equator Cafe,77
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,Poke Delish,138
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,Cafe 24,161
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,Philz Coffee,175
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,Cahill Park,37
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,Plant 51 Gym,97
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,Britainnia Arms,173
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,Savory Kitchen,184
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,McCarthy's Newsstand,184
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Shanghai Dumpling King,7
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Won Kok Restaurant,19
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Railroad Expresso,32
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Big Joe's,46
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Pho Dong Huong,66
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Mad Oak,149
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Luckyduck Bicycle Cafe,270
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Oakland Museum of California,286
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,The Alice Collective,290
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Off the Grid: Lake Merritt at OMCA,300
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Parlour,39
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,19th Street Station,48
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Drexl,76
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Molcajete Cocina Mexicana,76
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Coco Cafe,103
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Bay Club San Francisco,159
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Hillstone,212
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Pier 23,256
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Pier 23 Cafe,261
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Greenwich Steps,264
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Mission Creek Dog Park,125
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,I'a Poke,376
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Mission Creek Park,412
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Dumpling Time,414
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Suchada Thai Massage,421
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Okane,54
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Omakase,59
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,I'a Poke,112
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Saap Ver Authentic Thai Cuisine,127
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Suchada Thai Massage,132
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,Mission Creek Park,105
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,Happy Lemon,160
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,Mazu Spa,168
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,Réveille Coffee Co,174
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,Joe & The Juice,190
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Willkommen,21
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Tan Bella,32
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,People Hair & Nails Spa,58
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,The Detour,69
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Swedish American Hall,73
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Trader Joe's,4
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Gold Leaf Cafe,31
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Rojbas Grill,33
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Berkeley Acupuncture Project,51
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,The Butcher's Son,86
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,China Joe Fast Food,31
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Panaderia La Favorita,40
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Los Cocos Salvadorian Restaurant,42
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Tamales Acapulco,58
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Little Caesars Pizza,69
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Orbit Coffee 7th St,358
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,7th West,365
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,The Big Apple Cafe,387
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Donuts & Subs,387
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Google Shuttle - West Oakland P&R,433
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Powderface,3
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Wahpepah’s Kitchen,14
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Emil's Burger & Breakfast,32
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Fruitvale BART Station,57
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Papa John's Pizza,57
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,The Big Apple Cafe,327
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,After Hours Spot Strip Club,385
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,West Oakland Senior Center,438
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,KFC,527
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,Sun Hing Restaurant,529
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,Resident Lounge,99
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,Rio California,128
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,City Cup,145
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,Penelope,318
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,The New Parish,341
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Urbana,22
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Cafe Seventy8,34
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Coco's Ramen,43
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Rock Bar,47
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Heavy Metal Bike Shop,53
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Doma Sushi Bar,72
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Precita Park,76
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Precita Park Cafe and Grill,78
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Charlie's Deli Cafe,196
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Harvest Hills Market,209
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Regent Thai Restaurant,5
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Clay Oven Indian Cuisine,14
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Henry's Hunan Restaurant,21
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Twin Peaks Pizza & Pasta,30
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Oki Sushi,66
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,Bac Lieu Restaurant,160
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,Blue Plate,161
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,Emmy's Spaghetti Shack,176
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,Moxie Yoga,176
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,Linda Mitchell,177
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Omnivore Books on Food,162
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Chloe's Cafe,203
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,26th & Guerrero Market,226
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Eric's Restaurant,229
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Uma Casa,268
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Rudy's Can't Fail Cafe,204
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Starbucks,206
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,East Bay Bridge,217
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Chick-Fil-A,245
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Target Optical,245
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,Rudy's Can't Fail Cafe,42
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,The Steve Jobs Theater - Pixar Animation Studios,216
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,East Bay Bridge,273
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,Kelly's Deli,317
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,Baskin-Robbins,431
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Radio Habana Social Club,6
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Boogaloos,20
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,The Pretty Pretty Collective,25
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Latin American Club,28
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Cava 22,102
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,Noe Valley Wine Merchants,120
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,The Dubliner,154
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,Noe Valley Farmers Market,212
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,La Boulangerie de San Francisco,263
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,Slow Sanchez Street - 23rd To 30th,269
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Arizmendi Bakery Panaderia & Pizzeria,17
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Papalote Mexican Grill,60
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Beloved Cafe,127
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Dance Mission Theater,155
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Beretta Valencia,158
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,Noe Valley Wine Merchants,96
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,The Dubliner,120
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,Noe Valley Farmers Market,152
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,Slow Sanchez Street - 23rd To 30th,209
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,La Boulangerie de San Francisco,209
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,Cocoon Urban Day Spa,47
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,Philz Coffee,194
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,Carnivale of Cocktails,232
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,"The Clancy, Autograph Collection",270
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,Southside Spirit House,286
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,Philz Coffee,40
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,The Shota,152
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,Blue Bottle Coffee,169
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,83 Proof,178
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,Louie's Bar,178
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,The Spoon Chamber,346
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,9:20 Special,347
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,Cheese Steak Shop,354
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,San Francisco Athletic Club,409
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,Chicago Barber Shop II,410
55,6d5e221de84a938a2a813425ddddcf2d,37.31515792998312,-121.89783275127412,Taqueria Tlaquepaque 2,466
55,6d5e221de84a938a2a813425ddddcf2d,37.31515792998312,-121.89783275127412,Thai Spice,507
55,6d5e221de84a938a2a813425ddddcf2d,37.31515792998312,-121.89783275127412,T-Square Coffee & Tea,512
