Bike_Id,City,Bike_Lat_x,Bike_Lon_x,Free_Bikes,Empty_Slots,Total_Bikes,Bike_Lat_y,Bike_Lon_y,name_fsq,distance_fsq,postcode,Bike_Lat,Bike_Long,name_yelp,review_count,categories,rating,display_address,distance_yelp
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,El Tiny Cafe,26,94703,37.849735,-122.270582,Shewhat,243.0,"Ethiopian, Eritrean",5.0,"6101 Shattuck Ave, Oakland, CA 94609",541.6956669142392
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,El Tiny Cafe,26,94703,37.849735,-122.270582,Creekwood,458.0,"Italian, New American",4.5,"3121 Sacramento St, Berkeley, CA 94702",684.3919001590383
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,El Tiny Cafe,26,94703,37.849735,-122.270582,The Fat Fish,190.0,Fish & Chips,4.0,"3221 Adeline St, Berkeley, CA 94703",29.9305557971102
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,Las Palmas Super Burritos and Heros,33,94703,37.849735,-122.270582,Shewhat,243.0,"Ethiopian, Eritrean",5.0,"6101 Shattuck Ave, Oakland, CA 94609",541.6956669142392
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,Las Palmas Super Burritos and Heros,33,94703,37.849735,-122.270582,Creekwood,458.0,"Italian, New American",4.5,"3121 Sacramento St, Berkeley, CA 94702",684.3919001590383
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,Las Palmas Super Burritos and Heros,33,94703,37.849735,-122.270582,The Fat Fish,190.0,Fish & Chips,4.0,"3221 Adeline St, Berkeley, CA 94703",29.9305557971102
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,The Fat Fish,41,94703,37.849735,-122.270582,Shewhat,243.0,"Ethiopian, Eritrean",5.0,"6101 Shattuck Ave, Oakland, CA 94609",541.6956669142392
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,The Fat Fish,41,94703,37.849735,-122.270582,Creekwood,458.0,"Italian, New American",4.5,"3121 Sacramento St, Berkeley, CA 94702",684.3919001590383
d0e8f4f1834b7b33a3faf8882f567ab8,"San Francisco Bay Area, CA",37.849735,-122.270582,6,9,15,37.849735,-122.270582,The Fat Fish,41,94703,37.849735,-122.270582,The Fat Fish,190.0,Fish & Chips,4.0,"3221 Adeline St, Berkeley, CA 94703",29.9305557971102
983514094dd808b1604da2dcfc2d09af,"San Francisco Bay Area, CA",37.33618830029063,-121.8892765045166,11,0,11,37.33618830029063,-121.8892765045166,Goodtime Bar,34,95113,37.33618830029063,-121.8892765045166,Hula Bar and Kitchen,140.0,"Bars, Hawaiian, Filipino",4.5,"30 E Santa Clara St, Ste 110, San Jose, CA 95113",60.83496044145935
