Station_No,Station_ID,Bike_Lat,Bike_Long,name,review_count,categories,rating,distance
120,48ae1a8e476b68de634e7f103c359b56,37.333988,-121.894902,Opa! Authentic Greek - San Jose,95,Greek,4.0,102.5388473543337
120,48ae1a8e476b68de634e7f103c359b56,37.333988,-121.894902,Nosh Cafe & Catering,0,"Bagels, Coffee & Tea, Sandwiches",0.0,119.45018729932887
121,b347e314d1a3b9d27875b46ce3fd7f70,37.7719996,-122.3899698,Proper Food,4,"Sandwiches, Salad, Breakfast & Brunch",5.0,97.44791777100764
121,b347e314d1a3b9d27875b46ce3fd7f70,37.7719996,-122.3899698,Rasa Rasa,118,"Food Trucks, Indonesian, Asian Fusion",4.5,127.04122577353017
121,b347e314d1a3b9d27875b46ce3fd7f70,37.7719996,-122.3899698,Chef's Truck,13,"Food Trucks, Tacos, Burgers",4.5,127.04122577353017
122,5b3c9868ef64e09442b06df5ce4ef24d,37.78045005996349,-122.43194639682768,Tsing Tao Restaurant,221,"Chinese, Seafood",3.0,57.004556039982575
122,5b3c9868ef64e09442b06df5ce4ef24d,37.78045005996349,-122.43194639682768,McDonald's,257,"Fast Food, Burgers, Coffee & Tea",2.0,67.43461679511533
122,5b3c9868ef64e09442b06df5ce4ef24d,37.78045005996349,-122.43194639682768,Nepalese Indian Restaurant,0,"Indian, Himalayan/Nepalese",0.0,73.5377425384628
123,d94a66f24de908a615ce0a46f27a682b,37.78749210438603,-122.3982846736908,Off the Grid Salesforce Transit Center,3,"Food Trucks, Food Court",3.5,13.652926534328769
123,d94a66f24de908a615ce0a46f27a682b,37.78749210438603,-122.3982846736908,sweetgreen,377,Salad,3.5,32.9182158110508
123,d94a66f24de908a615ce0a46f27a682b,37.78749210438603,-122.3982846736908,LaoTable,1537,"Laotian, Thai",4.0,38.33091195997962
124,448833b358f62bf1d1206c813f792669,37.779046658472055,-122.44729131460188,Club Ed Cafe,0,Cafes,0.0,108.61212871734134
124,448833b358f62bf1d1206c813f792669,37.779046658472055,-122.44729131460188,Subway,72,"Fast Food, Sandwiches",2.5,335.65556635876874
124,448833b358f62bf1d1206c813f792669,37.779046658472055,-122.44729131460188,The House of Hummus,141,"Middle Eastern, Falafel, Arabic",4.5,348.583291069163
125,515b2fdc0cfb6110776790b85400f062,37.75823842417928,-122.4260938167572,Guerrero Market & Deli,113,"Grocery, Delis, Sandwiches",4.5,296.7059529627016
125,515b2fdc0cfb6110776790b85400f062,37.75823842417928,-122.4260938167572,Java Supreme,213,"Breakfast & Brunch, Cafes",4.5,300.8565821756918
125,515b2fdc0cfb6110776790b85400f062,37.75823842417928,-122.4260938167572,Dolores Park Cafe,753,"Breakfast & Brunch, Coffee Roasteries, American",3.5,345.579780622663
126,03cc61af40764524160f132da0f3f681,37.8505777,-122.2781754,Creekwood,462,"Italian, New American",4.5,44.9385213051942
126,03cc61af40764524160f132da0f3f681,37.8505777,-122.2781754,House Of Curries,20,"Indian, Pakistani, Halal",4.0,50.54485559256789
126,03cc61af40764524160f132da0f3f681,37.8505777,-122.2781754,M & B Market,12,"Coffee & Tea, Delis, Grocery",3.0,364.3962674396172
127,0a40fbe91996a7ac0b46d34871aa896b,37.73981271734901,-122.42552250623704,Chenery Market,24,"Grocery, Beer, Wine & Spirits, Delis",3.5,29.552894325405198
127,0a40fbe91996a7ac0b46d34871aa896b,37.73981271734901,-122.42552250623704,Crunchy Munchy Chicken,1,"Fast Food, Chicken Shop",3.0,168.39076137449632
127,0a40fbe91996a7ac0b46d34871aa896b,37.73981271734901,-122.42552250623704,Cuisine of Nepal,739,"Himalayan/Nepalese, Indian, Caterers",4.5,245.28090270112565
128,ff965c7f0bb892bf7053a78b4df24275,37.35288682729121,-121.88604980707169,Chiaramonte's Deli & Sausages,193,"Delis, Italian, Sandwiches",4.0,60.99780248207313
128,ff965c7f0bb892bf7053a78b4df24275,37.35288682729121,-121.88604980707169,Back A Yard,107,"Caribbean, Caterers",4.5,123.72228238293685
128,ff965c7f0bb892bf7053a78b4df24275,37.35288682729121,-121.88604980707169,Taqueria Paracuaro,13,Mexican,5.0,135.52235838632262
129,49bb4994b8e1aacd936090458544f74d,37.35306166133104,-121.89193725585936,Santo Market,817,"Delis, International Grocery, Sandwiches",4.5,335.4740291948689
129,49bb4994b8e1aacd936090458544f74d,37.35306166133104,-121.89193725585936,Sushi Maru,885,"Sushi Bars, Japanese",3.5,397.3138268901277
129,49bb4994b8e1aacd936090458544f74d,37.35306166133104,-121.89193725585936,El Sol Super Mercado and Taqueria,49,Mexican,4.0,397.7258069132105
130,1d2910bd99e3e2abbe63546c231cfab8,37.77452040113685,-122.4094493687153,Colombians Food Factory,0,"Colombian, Food Trucks",0.0,84.23214568497521
130,1d2910bd99e3e2abbe63546c231cfab8,37.77452040113685,-122.4094493687153,Anton's Pizza and Deli,49,"Pizza, Delis",3.5,93.57605916884917
130,1d2910bd99e3e2abbe63546c231cfab8,37.77452040113685,-122.4094493687153,AK Subs,472,"Sandwiches, Breakfast & Brunch, Coffee & Tea",4.5,95.09406629054108
131,36460a8c801bc83206f3810f859f9573,37.7765126,-122.4113061,Harvest Urban Market,419,"Specialty Food, Grocery, Salad",2.5,38.11830896341489
131,36460a8c801bc83206f3810f859f9573,37.7765126,-122.4113061,Rize Up Bakery,68,"Desserts, Food Stands",4.5,67.2841109725712
131,36460a8c801bc83206f3810f859f9573,37.7765126,-122.4113061,Living Joy,3,Mediterranean,5.0,94.57935851670985
132,d436129450e3a2223972a9b3f7134f73,37.8723555,-122.2664467,Chefs Kitchen Of India,4,Indian,4.0,54.468666910059575
132,d436129450e3a2223972a9b3f7134f73,37.8723555,-122.2664467,The Chef Kitchen,0,Indian,0.0,54.468666910059575
132,d436129450e3a2223972a9b3f7134f73,37.8723555,-122.2664467,The Chef Kitchen,1,Indian,5.0,54.468666910059575
133,1596efd5fa00679aefd3b5d3d1b2ef26,37.866249,-122.2993708,Dojo Dog,134,"Asian Fusion, Hot Dogs, Food Trucks",4.0,36.288666319578425
133,1596efd5fa00679aefd3b5d3d1b2ef26,37.866249,-122.2993708,Earthbar,258,"Juice Bars & Smoothies, Breakfast & Brunch, Vegetarian",4.0,240.0592102497305
133,1596efd5fa00679aefd3b5d3d1b2ef26,37.866249,-122.2993708,Cafe Réveille,195,"Coffee & Tea, Breakfast & Brunch, Sandwiches",3.5,284.22552236563956
134,0d5e25e4358800e347be5dd9808fabb5,37.8658466,-122.2674431,Nikko Sushi,184,"Sushi Bars, Japanese",4.5,16.145603615940104
134,0d5e25e4358800e347be5dd9808fabb5,37.8658466,-122.2674431,Royal Ground Coffee House,238,"Coffee & Tea, Sandwiches, Breakfast & Brunch",3.5,20.471586898099964
134,0d5e25e4358800e347be5dd9808fabb5,37.8658466,-122.2674431,La Note,4272,"French, Breakfast & Brunch",4.0,41.83555912983372
135,4a2e731c87e9a1e07ad0f5c8a91efd4b,37.86641794050319,-122.25379943847656,Crossroads,134,Buffets,3.0,223.33783393128257
135,4a2e731c87e9a1e07ad0f5c8a91efd4b,37.86641794050319,-122.25379943847656,Pizzeria 1868,1,Pizza,5.0,228.2987031867037
135,4a2e731c87e9a1e07ad0f5c8a91efd4b,37.86641794050319,-122.25379943847656,Freehouse,261,"Pubs, American",3.0,298.5461167716589
136,9cc649af249977ff781d4b755abd4388,37.87055532905745,-122.27972030639648,North Beach Pizza,345,"Pizza, Italian, Salad",3.0,17.505647117237498
136,9cc649af249977ff781d4b755abd4388,37.87055532905745,-122.27972030639648,Himalayan Flavors,465,"Indian, Himalayan/Nepalese",4.0,74.88631149792616
136,9cc649af249977ff781d4b755abd4388,37.87055532905745,-122.27972030639648,The Bay's Taco Truck,11,"Mexican, Food Trucks",4.0,168.39190320363636
137,569d5c153e5380ea2f286b48217ec566,37.870407115465376,-122.29967594146729,Cafe M,1931,"Breakfast & Brunch, Salad, Sandwiches",4.0,56.48447204927271
137,569d5c153e5380ea2f286b48217ec566,37.870407115465376,-122.29967594146729,Dumpling Time - Berkeley,177,"Chinese, Asian Fusion, Caterers",3.5,65.36411445815611
137,569d5c153e5380ea2f286b48217ec566,37.870407115465376,-122.29967594146729,Oceanview Deli and Bakery,17,"Delis, Bakeries, Pizza",4.0,94.15610828424785
138,af8c8625437ce60d8d247d158945ebd8,37.88022244590679,-122.26959228515624,Abstract Table,62,"New American, Tapas/Small Plates",4.0,28.356651110812656
138,af8c8625437ce60d8d247d158945ebd8,37.88022244590679,-122.26959228515624,Cafenated Coffee Company,309,"Coffee & Tea, Wine Bars, Breakfast & Brunch",4.0,29.79198751276757
138,af8c8625437ce60d8d247d158945ebd8,37.88022244590679,-122.26959228515624,Lou Lou Pop Up,3,"Sandwiches, Pop-Up Restaurants",5.0,39.5445350131995
139,8be5197057004601e172a2eb9bbe1f11,37.87657254910685,-122.26952791213988,North Shattuck Association Berkeley,1,"Specialty Food, Cafes, Women's Clothing",5.0,23.85099183942316
139,8be5197057004601e172a2eb9bbe1f11,37.87657254910685,-122.26952791213988,Taste of the Himalayas,897,"Indian, Himalayan/Nepalese, Seafood",4.0,23.85099183942316
139,8be5197057004601e172a2eb9bbe1f11,37.87657254910685,-122.26952791213988,Cha-Ya,755,"Japanese, Sushi Bars, Noodles",4.0,34.423556160812204
140,02f7cffdcfad5a5d9863c1b70a7eb17c,37.849594967776646,-122.26556897163393,Nick's Pizza,508,"Pizza, Breakfast & Brunch, Coffee & Tea",4.5,23.672412231143888
140,02f7cffdcfad5a5d9863c1b70a7eb17c,37.849594967776646,-122.26556897163393,M & S Kitchen,57,Chinese,3.5,29.162840669594768
140,02f7cffdcfad5a5d9863c1b70a7eb17c,37.849594967776646,-122.26556897163393,Subway,19,"Sandwiches, Fast Food",2.0,44.91807035599004
141,ebbfe1c4b86ffc03d3be17ba20a6ec99,37.8465156,-122.2653043,Shewhat,246,"Ethiopian, Eritrean",5.0,44.00953224961689
141,ebbfe1c4b86ffc03d3be17ba20a6ec99,37.8465156,-122.2653043,Casa Borinqueña,69,"Puerto Rican, Vegan",5.0,200.29336918082888
141,ebbfe1c4b86ffc03d3be17ba20a6ec99,37.8465156,-122.2653043,M & S Kitchen,57,Chinese,3.5,314.35116405791535
142,6ad0aba1d60a8bba74e69b3c7278acb8,37.81498823042416,-122.2748440504074,Giant Burrito,32,"Burgers, Mexican",3.5,107.88034552634531
142,6ad0aba1d60a8bba74e69b3c7278acb8,37.81498823042416,-122.2748440504074,Stay Gold Deli,284,"Barbeque, Southern, Soul Food",3.5,317.69889629479803
142,6ad0aba1d60a8bba74e69b3c7278acb8,37.81498823042416,-122.2748440504074,YOYO Momoss,5,"Indian, Himalayan/Nepalese",3.0,372.2438761538694
143,4deef404025cb87bec9c395b953cdfd9,37.8513755,-122.2525233,Boichik Bagels,698,"Bagels, Salad, Coffee & Tea",4.0,18.9329778618721
143,4deef404025cb87bec9c395b953cdfd9,37.8513755,-122.2525233,Mitama Restaurant,355,"Japanese, Sushi Bars, Sports Bars",3.5,31.83320017319245
143,4deef404025cb87bec9c395b953cdfd9,37.8513755,-122.2525233,Casa Barotti,115,"Italian, Pizza, Sandwiches",4.5,40.894995232465554
144,c2648d0ffed4d1f710ccaf79e9a304fa,37.8005161,-122.2720799,Tian Jin Dumplings,340,Chinese,4.0,30.487628905397404
144,c2648d0ffed4d1f710ccaf79e9a304fa,37.8005161,-122.2720799,Chuan Yu,76,Szechuan,4.5,33.85191441995013
144,c2648d0ffed4d1f710ccaf79e9a304fa,37.8005161,-122.2720799,Sakura Bistro Tapas & Sake Bar,288,"Sushi Bars, Japanese, Asian Fusion",4.0,45.10669213653595
145,8302e5d11a6c84bac27a774de41474f9,37.7973195,-122.2653199,Krispy Krunchy Chicken,14,"Chicken Shop, Seafood, Fast Food",2.0,71.5190700724668
145,8302e5d11a6c84bac27a774de41474f9,37.7973195,-122.2653199,Hometown Donuts Liquor & Food,53,"Donuts, Beer, Wine & Spirits, Chicken Shop",3.0,71.5190700724668
145,8302e5d11a6c84bac27a774de41474f9,37.7973195,-122.2653199,Lane-e Kefa Coffee,136,"Coffee & Tea, Sandwiches, Breakfast & Brunch",4.5,91.32951886970993
146,43944ce65c342e60c0ccf1c9f5ec51f6,37.79857210846256,-122.40086898207666,Subway,26,"Sandwiches, Fast Food",2.5,26.33038625871113
146,43944ce65c342e60c0ccf1c9f5ec51f6,37.79857210846256,-122.40086898207666,Gambino's New York Subs,66,"Breakfast & Brunch, Sandwiches",4.5,30.671556638608877
146,43944ce65c342e60c0ccf1c9f5ec51f6,37.79857210846256,-122.40086898207666,Wings & Things,10,Chicken Wings,2.0,59.920115050681396
147,60031404d0e98d8de9b6531836dc0888,37.34113203547954,-121.8928438425064,Devine Cheese and Wine,112,"Wine Bars, New American, Cheese Shops",5.0,86.45016800272305
147,60031404d0e98d8de9b6531836dc0888,37.34113203547954,-121.8928438425064,Ozell’s,0,"American, Pancakes, Coffee & Tea",0.0,98.33864900494984
147,60031404d0e98d8de9b6531836dc0888,37.34113203547954,-121.8928438425064,Trials Pub,492,"Pubs, New American, Fish & Chips",4.0,142.7172992767217
148,a7d703c1d843d22ee42adb5e6db291da,37.755367132158526,-122.38879501819608,Besharam,478,"Indian, Vegetarian",4.0,154.366337945913
148,a7d703c1d843d22ee42adb5e6db291da,37.755367132158526,-122.38879501819608,Cafe Razzi,1,"Restaurants, Coffee & Tea",4.0,205.22633212913854
148,a7d703c1d843d22ee42adb5e6db291da,37.755367132158526,-122.38879501819608,The Cheese School of San Francisco,221,Cafes,4.5,220.42215296805813
149,5ea5e58b4dc5550721049acb54220651,37.72694296622841,-122.40659952163696,Sunshine Wheat Field Dim Sum,34,"Dim Sum, Bakeries",4.0,250.90596834351953
149,5ea5e58b4dc5550721049acb54220651,37.72694296622841,-122.40659952163696,Chef Li's Cafe,184,"Chinese, Barbeque",4.0,252.71548348467502
149,5ea5e58b4dc5550721049acb54220651,37.72694296622841,-122.40659952163696,Restaurant Pupuseria Ilobasco,72,Salvadoran,3.5,253.29153228641124
150,c2e3051962238764d5e968e6f4544485,37.86906047545393,-122.29339957237242,Kabana Restaurant,782,"Indian, Pakistani",4.0,30.667848739576982
150,c2e3051962238764d5e968e6f4544485,37.86906047545393,-122.29339957237242,Ibéxico,11,"Desserts, Tacos, Pop-Up Restaurants",4.0,104.7879903438315
150,c2e3051962238764d5e968e6f4544485,37.86906047545393,-122.29339957237242,La Marcha Tapas Bar,1301,"Spanish, Tapas Bars, Wine Bars",4.0,104.7879903438315
151,33424dfd71dd02911d83b5b683e55791,37.771431362921085,-122.40578681230544,Pizza Squared,231,Pizza,4.5,69.32605460819767
151,33424dfd71dd02911d83b5b683e55791,37.771431362921085,-122.40578681230544,El Pípila,91,Mexican,4.0,74.41492587732903
151,33424dfd71dd02911d83b5b683e55791,37.771431362921085,-122.40578681230544,Bellota,787,"Spanish, Seafood, Tapas Bars",4.0,88.86954197809088
152,3367402e41d84a3c70c5056e5312bb24,37.72927865173028,-122.39289611577988,El Azteca Taqueria,104,Mexican,3.5,15.134269978847541
152,3367402e41d84a3c70c5056e5312bb24,37.72927865173028,-122.39289611577988,Las Palmas Super Burrito & Seafood,59,"Seafood, Mexican, Fast Food",2.5,86.06224702270922
152,3367402e41d84a3c70c5056e5312bb24,37.72927865173028,-122.39289611577988,Bloomstock,45,"Coffee & Tea, Waffles, Cafes",5.0,133.3476258790547
153,c8131aed6f3df2f78149eb338df66e66,37.8178269,-122.2756976,Stay Gold Deli,284,"Barbeque, Southern, Soul Food",3.5,20.410552589172692
153,c8131aed6f3df2f78149eb338df66e66,37.8178269,-122.2756976,YOYO Momoss,5,"Indian, Himalayan/Nepalese",3.0,139.90826414772835
153,c8131aed6f3df2f78149eb338df66e66,37.8178269,-122.2756976,La Oaxaqueña,0,"Mexican, Street Vendors",0.0,139.90826414772835
154,8ecedfe82a3e35413e8a45da10ace67b,37.8277573,-122.2567156,Clove and Hoof,885,"American, Sandwiches",4.0,2.751081376508765
154,8ecedfe82a3e35413e8a45da10ace67b,37.8277573,-122.2567156,Aman Cafe,87,"Malaysian, Coffee & Tea, Cafes",5.0,25.35318592984889
154,8ecedfe82a3e35413e8a45da10ace67b,37.8277573,-122.2567156,Mama's Royal Cafe,940,"Breakfast & Brunch, Diners, Burgers",3.5,38.01310222794859
155,891294b26b673dc172e2dc00d96ccf2e,37.3509643,-121.9020161,Eight Forty North First Restaurant,0,Restaurants,0.0,140.08396965227715
155,891294b26b673dc172e2dc00d96ccf2e,37.3509643,-121.9020161,Jackie's Place,1289,"Soul Food, Barbeque",4.5,140.08396965227715
155,891294b26b673dc172e2dc00d96ccf2e,37.3509643,-121.9020161,Pearl Restaurant & Bar,0,"Vietnamese, American",0.0,140.08396965227715
156,7c2a6fcca214cf03806ad50164de0f0e,37.3383952,-121.8807965,Kali Noodles and Tea Bar,419,"Vietnamese, Coffee & Tea, Noodles",4.5,207.3100023307214
156,7c2a6fcca214cf03806ad50164de0f0e,37.3383952,-121.8807965,Tofoo Com Chay,1159,Vietnamese,4.5,214.48724427796117
156,7c2a6fcca214cf03806ad50164de0f0e,37.3383952,-121.8807965,The Last Round Tavern,127,"Pizza, Sandwiches, Bars",4.5,226.46717280743894
157,a4d58de82f6475801e4bf6cf97ecd387,37.3371223728942,-121.88321471214294,Peanuts Deluxe Cafe,604,"Diners, Breakfast & Brunch",4.0,31.807618938023044
157,a4d58de82f6475801e4bf6cf97ecd387,37.3371223728942,-121.88321471214294,Original Sa-By Thai,521,Thai,3.5,48.77209505714344
157,a4d58de82f6475801e4bf6cf97ecd387,37.3371223728942,-121.88321471214294,Cowboy Pho,11,"Vietnamese, Barbeque, Soup",5.0,139.34719536743722
158,086b31d113c141a26d19612139ad8956,37.78352083526095,-122.43115782737732,Sikdang Woori,23,Korean,4.5,112.31207061197901
158,086b31d113c141a26d19612139ad8956,37.78352083526095,-122.43115782737732,Boba Guys,764,"Cafes, Bubble Tea, Tea Rooms",4.0,116.84973802410181
158,086b31d113c141a26d19612139ad8956,37.78352083526095,-122.43115782737732,Subway,79,"Sandwiches, Fast Food",2.0,118.052630710694
159,fcbb52bd7f4fcf0f57a7cc47078c7ff4,37.78487208436062,-122.40087568759915,Living Room Bar at W San Francisco,44,"New American, Bars",3.5,54.083966424440376
159,fcbb52bd7f4fcf0f57a7cc47078c7ff4,37.78487208436062,-122.40087568759915,Fogo de Chão Brazilian Steakhouse,2110,"Brazilian, Seafood, Steakhouses",4.0,59.71447098726328
159,fcbb52bd7f4fcf0f57a7cc47078c7ff4,37.78487208436062,-122.40087568759915,B Restaurant & Bar,741,"New American, Bars",3.5,74.12543076130716
160,03ec647221434cdad0abf4907706e949,37.32673,-121.8892731,Almaden Crossing,2,"Coffee & Tea, Lounges, Delis",5.0,75.89516405120291
160,03ec647221434cdad0abf4907706e949,37.32673,-121.8892731,Kukar's House of Pizza,684,Pizza,2.5,102.24065411601131
160,03ec647221434cdad0abf4907706e949,37.32673,-121.8892731,Hope Services,0,Restaurants,0.0,236.36978272135207
161,55287fdab6af4d37f97e17770b823bbe,37.86996670760404,-122.28653311729433,Pyeong Chang Tofu - Berkeley,277,"Korean, Soup, Chicken Wings",4.5,87.4476449753592
161,55287fdab6af4d37f97e17770b823bbe,37.86996670760404,-122.28653311729433,La Mission,1361,"Mexican, Breakfast & Brunch, Sandwiches",4.0,121.86047304872542
161,55287fdab6af4d37f97e17770b823bbe,37.86996670760404,-122.28653311729433,Montero's,0,Breakfast & Brunch,0.0,215.63480737381872
162,0eddf1befddc9f3a1264cc05bf1a5e6a,37.8624644,-122.2647911,Musashi,458,"Japanese, Sushi Bars",4.0,212.2724290190023
162,0eddf1befddc9f3a1264cc05bf1a5e6a,37.8624644,-122.2647911,Way Station Brew,164,"Cafes, Coffee Roasteries, New American",4.5,232.86519256210136
162,0eddf1befddc9f3a1264cc05bf1a5e6a,37.8624644,-122.2647911,Herrick Campus Bistro,4,"Breakfast & Brunch, Cafeteria",4.5,284.902997593074
163,e69e4dce53bdbe1ffe17185ee72fdcae,37.8588682,-122.2912095,Tarocco,54,"Mediterranean, Gluten-Free, Venues & Event Spaces",5.0,27.210341251477146
163,e69e4dce53bdbe1ffe17185ee72fdcae,37.8588682,-122.2912095,Cafe Buenos Aires,4,"Empanadas, Coffee & Tea, Breakfast & Brunch",5.0,112.31571551566566
163,e69e4dce53bdbe1ffe17185ee72fdcae,37.8588682,-122.2912095,Juan's Place,819,"Mexican, Bars",4.0,134.8302118926164
164,e526d675e9f591823eb822bebb0630b0,37.8623199,-122.258801,Le Bateau Ivre,552,"French, Coffee & Tea, Breakfast & Brunch",3.5,29.423898305674737
164,e526d675e9f591823eb822bebb0630b0,37.8623199,-122.258801,Kuboba Spot,187,"Bubble Tea, Empanadas, Filipino",5.0,36.72036955422885
164,e526d675e9f591823eb822bebb0630b0,37.8623199,-122.258801,Kiraku,1520,"Japanese, Tapas/Small Plates, Tapas Bars",4.5,158.0436624176548
165,780cbaed92260f59e763de62b4cebe1f,37.776619,-122.417385,Manila Bowl,154,Filipino,4.0,23.107245637485814
165,780cbaed92260f59e763de62b4cebe1f,37.776619,-122.417385,The Market,471,"Grocery, Beer, Wine & Spirits, Delis",3.0,35.12481470457665
165,780cbaed92260f59e763de62b4cebe1f,37.776619,-122.417385,Poké Bar,254,"Asian Fusion, Hawaiian, Poke",4.0,38.20910343950957
166,23c911eba61c38bd79e4df21cf9a8bc6,37.7770527,-122.4295585,Alamo Square Seafood Grill,731,Seafood,4.0,177.1690436373943
166,23c911eba61c38bd79e4df21cf9a8bc6,37.7770527,-122.4295585,Alamo Square Cafe,194,"Sandwiches, Coffee & Tea, Bagels",4.0,194.2481002035745
166,23c911eba61c38bd79e4df21cf9a8bc6,37.7770527,-122.4295585,Ben's Bao,0,"Chinese, Food Trucks",0.0,213.60663164901834
167,4e8692f7a9eae9f0575945f02a87ccce,37.77754677017323,-122.43327409029006,Alamo Square Seafood Grill,731,Seafood,4.0,161.9445441863401
167,4e8692f7a9eae9f0575945f02a87ccce,37.77754677017323,-122.43327409029006,Alamo Square Cafe,194,"Sandwiches, Coffee & Tea, Bagels",4.0,234.87165988548836
167,4e8692f7a9eae9f0575945f02a87ccce,37.77754677017323,-122.43327409029006,Nepalese Indian Restaurant,0,"Indian, Himalayan/Nepalese",0.0,269.84681988438035
168,98c24c05dd22720e562f0c3590fabfa4,37.77610091264586,-122.4530929327011,Bon Appetit,35,Fast Food,1.5,152.78139687607097
168,98c24c05dd22720e562f0c3590fabfa4,37.77610091264586,-122.4530929327011,Drip Coffee,4,Cafes,4.5,235.9048109687066
168,98c24c05dd22720e562f0c3590fabfa4,37.77610091264586,-122.4530929327011,The Market Café,12,"Salad, Turkish, Halal",2.5,247.34975200712242
169,76f3d32a941219346e34c87820139711,37.780526,-122.390288,The Brixton,93,"Lounges, New American, Breakfast & Brunch",3.5,27.27968293578761
169,76f3d32a941219346e34c87820139711,37.780526,-122.390288,S&s Brand,0,Restaurants,0.0,27.27968293578761
169,76f3d32a941219346e34c87820139711,37.780526,-122.390288,El Porteño,18,"Empanadas, Argentine",4.0,28.39385297678335
170,074ef2e71ff08fd484f93827ed83dafd,37.775946,-122.4377775,Beretta Divisadero,487,"Italian, Pizza, Breakfast & Brunch",4.0,47.46668360975741
170,074ef2e71ff08fd484f93827ed83dafd,37.775946,-122.4377775,4505 Burgers & BBQ - San Francisco,1934,"Barbeque, Burgers, Sandwiches",3.5,47.34422291994187
170,074ef2e71ff08fd484f93827ed83dafd,37.775946,-122.4377775,Bar Crudo,1946,Seafood,4.0,53.3064387590081
171,45d4ba912fdbaf0e9d69cf9a1bde9a76,37.7774157,-122.4418376,McBaker Market & Deli,102,"Grocery, Beer, Wine & Spirits, Sandwiches",5.0,12.65188718551485
171,45d4ba912fdbaf0e9d69cf9a1bde9a76,37.7774157,-122.4418376,Matching Half Cafe,437,"Coffee & Tea, Breakfast & Brunch, Sandwiches",4.0,35.677756122878385
171,45d4ba912fdbaf0e9d69cf9a1bde9a76,37.7774157,-122.4418376,Kung Food,698,"Chinese, Gluten-Free, Vegetarian",4.0,277.0152312582526
172,8846b5e327d73c5c91f52afb03bee796,37.7644783,-122.4025701,Next Level Burger,310,"Burgers, American, Vegan",4.0,28.010437516574378
172,8846b5e327d73c5c91f52afb03bee796,37.7644783,-122.4025701,Market Cocina,0,Mexican,0.0,28.315972123093296
172,8846b5e327d73c5c91f52afb03bee796,37.7644783,-122.4025701,Burger's Bar,0,Burgers,0.0,54.85592123969293
173,ca3529cb0093cf568576c95492de5a68,37.7610471,-122.4326417,Italian Pasta Kitchen,0,Italian,0.0,36.113546683327954
173,ca3529cb0093cf568576c95492de5a68,37.7610471,-122.4326417,Kasa Indian Eatery,1145,"Indian, Caterers, Vegetarian",3.5,36.113546683327954
173,ca3529cb0093cf568576c95492de5a68,37.7610471,-122.4326417,Mr. Hen Noodles House,53,"Chicken Shop, Noodles, Soup",4.0,95.13224434851956
174,59f57a632668a24ab18d8bc9ff703af2,37.3600013909666,-121.87877833843233,Time Warp,1,Wraps,5.0,782.5357828604466
174,59f57a632668a24ab18d8bc9ff703af2,37.3600013909666,-121.87877833843233,Rancho Taco,2,Mexican,5.0,826.3615971044308
174,59f57a632668a24ab18d8bc9ff703af2,37.3600013909666,-121.87877833843233,Virrueta’s Tacos,3,"Food Trucks, Mexican",5.0,837.7423761430132
175,be206c6cb9c61276d1e3b9ad2a0b8060,37.32031582108647,-121.87009871006012,Stadium Liquors,31,"Beer, Wine & Spirits, Tacos",4.0,321.93049145383856
175,be206c6cb9c61276d1e3b9ad2a0b8060,37.32031582108647,-121.87009871006012,Scout's BBQ,2,Burgers,4.5,346.78946013045277
175,be206c6cb9c61276d1e3b9ad2a0b8060,37.32031582108647,-121.87009871006012,Our Nachoz,0,"Food Stands, Mexican",0.0,440.14704064303913
176,8521a7fa5b015f5cf91a490ca08e72d6,37.33677476275722,-121.90914899110793,Smashburger,847,"American, Burgers, Chicken Wings",3.0,367.91005031799654
176,8521a7fa5b015f5cf91a490ca08e72d6,37.33677476275722,-121.90914899110793,L&L Hawaiian Barbecue,600,"Hawaiian, Barbeque",2.5,368.4242446855531
176,8521a7fa5b015f5cf91a490ca08e72d6,37.33677476275722,-121.90914899110793,The Pasta Market,520,"Italian, Pasta Shops, Sandwiches",3.5,370.14223180975523
177,25b03a236b79e665a5ed9d316388b9cd,37.31128394611736,-121.89632534980774,The Cider Junction,313,"Cideries, Comfort Food, Beer Gardens",4.5,95.37764053653952
177,25b03a236b79e665a5ed9d316388b9cd,37.31128394611736,-121.89632534980774,Thai Spice,695,Thai,3.5,103.34728354400521
177,25b03a236b79e665a5ed9d316388b9cd,37.31128394611736,-121.89632534980774,New Indian Cuisine,553,Indian,4.0,113.50821054414703
178,e14686289c6158d279b29ef56cae6582,37.799207926286,-122.43412166833876,Parlor Pies,0,"Chicken Wings, Italian, Pizza",0.0,91.51217141425504
178,e14686289c6158d279b29ef56cae6582,37.799207926286,-122.43412166833876,Silver Cloud Restaurant and Karaoke Bar,345,"Karaoke, Sports Bars, New American",3.0,104.23541648497545
178,e14686289c6158d279b29ef56cae6582,37.799207926286,-122.43412166833876,Ramen Ya,0,"Ramen, Beer Bar",0.0,127.09290407891537
179,a39949a03aa488410e33371365084987,37.32096853145443,-121.9082960486412,Fire and Rice,81,"Hawaiian, Asian Fusion, Food Trucks",4.5,70.23729864759952
179,a39949a03aa488410e33371365084987,37.32096853145443,-121.9082960486412,Chromatic Coffee,328,"Coffee Roasteries, Coffee & Tea, Cafes",4.5,71.86532519109451
179,a39949a03aa488410e33371365084987,37.32096853145443,-121.9082960486412,Metro Balderas Truck,52,"Food Trucks, Mexican",4.5,321.1483410641136
